,Occupation,Critical Problem Solving and Repetitive Work,Negotition and Leadership Capacity,Hazardous Environment,Empathy and Social Percetiveness,Artistic Ability,Coordination Capacity,Finger Dexterity
268,Remote Sensing Scientists and Technologists,1.681096519,-0.547189021,0.795529152,-1.637267481,0.41171895,-0.170031596,0.378868225
269,Economists,1.923382384,-0.685426282,0.959149264,-1.472397375,0.214296307,-1.972467427,-1.398012915
270,Environmental Economists,1.775924122,-0.79624741,1.192924384,-1.729932907,0.596711847,-1.249839487,-1.354141458
271,Survey Researchers,1.051060285,0.610409509,0.873642768,-0.9336551,0.119202841,0.565692183,0.445236792
273,School Psychologists,1.002656699,0.602096011,1.043025866,1.955315657,-0.246191401,0.28304218,-0.081921348
274,Clinical Psychologists,1.182059556,0.48836797,0.652919745,2.612207482,0.15638136,-2.867854543,-0.882537489
275,Counseling Psychologists,0.927096426,0.619192927,0.882419995,2.627112225,-0.050323771,-1.600756033,-1.101368999
276,Industrial-Organizational Psychologists,1.373822259,0.97686352,0.696290272,0.38188572,0.422801436,0.3058809,-0.601890976
278,Neuropsychologists and Clinical Neuropsychologists,2.316059407,-0.716317745,0.46169905,2.316458525,-0.53659214,-1.878137897,0.089500033
279,Sociologists,1.258899781,-1.015328339,0.957058326,0.304541957,1.369665002,-1.468399624,-1.987584849
280,Urban and Regional Planners,0.379364978,1.274659064,0.581846244,-0.042750069,1.028784634,0.780769026,-0.435453951
282,Anthropologists,1.425243278,-0.60424628,0.408631848,0.643784917,1.359336978,-1.357933128,-1.472270641
283,Archeologists,1.159454645,0.177955587,-0.325254667,-0.293515847,1.605193611,0.132337183,0.649632392
284,Geographers,1.267331848,-1.292815091,0.76015315,-0.404063922,0.812926644,-0.558947498,-2.128384356
285,Historians,0.412643067,-0.893381151,0.81488619,0.543833648,1.039458939,0.111920186,-0.70431073
286,Political Scientists,1.611135779,-1.022697208,1.109636177,-0.201830823,0.825352955,-2.562463244,-2.057512413
288,Transportation Planners,1.0569591,0.841660109,0.723061496,-1.149947146,0.27547583,0.832900148,-0.735369468
290,Agricultural Technicians,0.473045824,-0.687722924,-0.690659658,0.159146091,0.093305846,1.217466124,-0.195346954
291,Food Science Technicians,0.025259421,-0.080729263,-0.236689866,-0.344684611,-0.288944259,0.512470921,0.42534731
292,Biological Technicians,1.190710082,-1.990944465,0.284540022,-0.27639183,-0.363487428,0.062782326,0.848708172
293,Chemical Technicians,0.75321672,-0.510658717,-0.092984676,-0.466558963,-0.988477705,-0.384268166,1.316879447
295,Geophysical Data Technicians,0.045400539,-0.935911265,0.608290054,-0.984646304,-0.496033552,0.358857335,-1.007793454
296,Geological Sample Test Technicians,1.009720659,-1.077921827,-0.152509772,-1.389525302,-0.59044901,-1.187751874,-0.161920271
298,Nuclear Equipment Operation Technicians,1.102217682,-1.461643015,-1.192952174,-0.215704364,-1.081692151,0.744873779,-0.907440141
299,Nuclear Monitoring Technicians,0.677059644,-0.175682108,-0.375915109,-0.644587537,-0.834852799,0.267991326,-0.174534337
300,Social Science Research Assistants,0.868051306,-0.954117855,0.86026972,0.183674833,0.119425024,-0.412551137,-0.147083833
301,City and Regional Planning Aides,-0.07764652,0.369089286,1.159974871,-0.337457929,-0.247364596,0.050912592,-0.626964971
302,"Environmental Science and Protection Technicians, Including Health",0.982555631,0.253700185,-0.335731052,-0.553092685,-1.278677314,-0.896865978,0.056320206
303,Forensic Science Technicians,1.546916257,-1.012512773,-0.448555523,0.143255439,-0.653867925,-0.73337904,0.560746973
304,Forest and Conservation Technicians,0.034029085,0.654667617,-0.784479522,0.176856293,-0.009517165,0.682863871,0.60581681
306,Quality Control Analysts,0.963613862,-1.260983376,-0.245781602,-0.111286483,-1.217047333,0.413776563,0.055952785
307,Precision Agriculture Technicians,1.022303322,0.183626938,-0.190152195,-1.142812918,-0.544062972,-0.949283287,0.355729849
308,Remote Sensing Technicians,0.638725796,-0.428140225,0.779391078,-1.16349151,0.125422144,0.037111243,0.495951882
309,Substance Abuse and Behavioral Disorder Counselors,0.154503896,0.223240475,0.606130779,2.506190656,0.374168126,-0.384421796,-1.312677762
310,"Educational, Guidance, School, and Vocational Counselors",0.235340184,0.973634237,0.658813401,2.242585418,0.018231733,0.467814071,-0.816024696
311,Marriage and Family Therapists,0.632350963,1.046119427,0.879674384,2.184046086,0.238330437,-1.980992401,-0.544616725
312,Mental Health Counselors,0.338693877,0.58074476,0.867050508,2.654628637,0.60125399,-1.842363329,-1.137607401
313,Rehabilitation Counselors,-0.147946055,0.335884169,0.863022625,2.027314934,-0.249124119,0.079248023,-0.886437416
315,"Child, Family, and School Social Workers",0.167201788,1.454419785,0.731016858,1.666699271,-0.105534039,-0.620302558,-0.705338112
316,Healthcare Social Workers,0.287098196,0.500572768,0.306357286,2.669263302,0.085708853,0.062540013,-0.92779665
317,Mental Health and Substance Abuse Social Workers,0.150485596,0.528839551,0.886507341,2.403355879,0.476625784,-0.366963067,-0.943783887
319,Health Educators,0.006551825,0.405198153,0.507170932,0.958050932,1.001628397,0.675664428,-0.099732669
320,Probation Officers and Correctional Treatment Specialists,0.183247804,0.357835925,0.200851989,2.056371542,-0.431760257,-0.783963803,-0.975969174
321,Social and Human Service Assistants,-0.335698193,0.233980588,0.125520417,2.180185901,-0.259267678,-0.459395524,-1.002978853
322,Community Health Workers,0.079399522,1.100294193,0.149760675,1.51282012,0.699491619,-0.219402327,0.419153789
324,Clergy,-0.358952569,1.220485919,0.559383809,2.217420071,1.32017554,-0.303741893,-1.600293281
325,"Directors, Religious Activities and Education",-0.520965732,1.199360966,0.378246168,1.697064115,1.449025413,0.871323905,-1.958206199
327,Lawyers,0.867133388,1.70226194,1.105474485,0.11901452,-0.504051233,-0.819953712,0.637442621
328,Judicial Law Clerks,1.302642245,-1.259100422,1.671619861,-0.583238131,-1.036838549,-2.201873932,-0.701187296
329,"Administrative Law Judges, Adjudicators, and Hearing Officers",1.19550125,0.128728885,0.775346369,0.843065274,-0.81300483,-0.880520116,-0.109663541
330,"Arbitrators, Mediators, and Conciliators",0.333972386,1.599223124,1.056847744,1.627114205,-0.222026638,-3.625286686,-0.903804901
331,"Judges, Magistrate Judges, and Magistrates",1.499126906,0.411084847,0.532255482,1.844940805,-1.11663396,-1.609549574,-0.782401261
332,Paralegals and Legal Assistants,-0.143593181,-0.70643458,1.848499035,-0.61395051,-1.13051299,0.052942068,-0.122076673
333,Court Reporters,-1.305237615,-1.767916542,2.017160782,-0.240697559,-0.925167099,-0.692110723,0.941381044
334,"Title Examiners, Abstractors, and Searchers",-0.027322608,-1.084928445,1.78313498,-0.839450076,-1.732373414,0.422405251,-0.277871328
336,"Business Teachers, Postsecondary",0.629923938,-0.820798766,0.843328894,1.224566277,1.222813119,0.692287221,-1.199168907
337,"Computer Science Teachers, Postsecondary",1.296583337,-1.181599949,0.647602629,0.619634337,0.841066625,0.068282281,0.241845415
338,"Mathematical Science Teachers, Postsecondary",1.303472118,-1.176050413,1.024469733,0.668921736,0.128332634,-0.500109256,-1.095557021
339,"Architecture Teachers, Postsecondary",0.598008297,-0.246087162,0.259289835,1.079811866,2.506894386,0.024405289,-1.7441858
340,"Engineering Teachers, Postsecondary",1.166055786,-0.684683425,0.443762983,-0.13062163,0.71981697,0.798976828,-1.420828652
341,"Agricultural Sciences Teachers, Postsecondary",1.195222316,0.185159087,0.165711389,-0.269208929,1.233706547,0.113644882,-1.042123117
342,"Biological Science Teachers, Postsecondary",1.355491879,-0.94498704,0.258585503,0.939552247,1.073205212,0.091980724,-0.249938311
343,"Forestry and Conservation Science Teachers, Postsecondary",1.024185485,-0.315540619,0.296291983,-0.184827441,0.855953909,0.558380723,-1.923467659
344,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.419879106,-0.313371912,0.432531862,-0.663382445,1.042273472,-0.078225845,-1.805793905
345,"Chemistry Teachers, Postsecondary",1.571918884,-1.363753944,-0.177652439,0.560569426,0.633246204,0.530096112,-1.370488285
346,"Environmental Science Teachers, Postsecondary",1.146380794,-0.919394199,0.153090239,0.71701859,1.217798914,0.741239555,-1.715025985
347,"Physics Teachers, Postsecondary",1.639201271,-0.368214875,0.41616491,-0.407439941,0.951360814,-0.401075867,-0.725495024
348,"Anthropology and Archeology Teachers, Postsecondary",1.051785878,-0.809866609,0.588605028,1.067626161,1.350834041,-0.569414071,-2.055248168
349,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.912274964,-1.382718508,0.527038084,1.26466671,1.635953631,-0.447534195,-1.507543922
350,"Economics Teachers, Postsecondary",1.246017701,-1.421412975,1.036083316,0.154634956,0.694732913,-1.374603488,-1.566381123
351,"Geography Teachers, Postsecondary",1.005351649,-0.954737593,0.865873986,0.160097166,1.405850402,-0.833771319,-1.55385644
352,"Political Science Teachers, Postsecondary",0.781344534,-1.106905388,0.65606517,1.167209336,1.701675699,-0.940296148,-2.626017588
353,"Psychology Teachers, Postsecondary",1.165873825,-1.131903702,0.563732181,1.943872912,0.720758758,-1.54540424,-2.033781865
354,"Sociology Teachers, Postsecondary",0.647330195,-1.014610402,0.7519041,1.249710141,1.627125124,-0.483844676,-2.200336274
356,"Health Specialties Teachers, Postsecondary",1.296689798,-0.938241575,0.281470896,1.366352403,0.271847316,0.757767228,-1.256878089
357,"Nursing Instructors and Teachers, Postsecondary",0.739648928,0.011324556,-0.05914827,2.048760795,0.839926895,0.889365958,0.051817439
358,"Education Teachers, Postsecondary",0.597790967,-0.621941806,0.48630501,1.679252563,1.629082109,0.816619542,-0.381303614
359,"Library Science Teachers, Postsecondary",0.70743925,-0.068656528,0.855594978,0.552154543,1.23207798,0.360816402,-0.645035287
360,"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.728751544,-0.240342799,0.250075846,1.233198903,0.577599153,-0.533877213,-1.985557769
361,"Law Teachers, Postsecondary",0.882458487,-0.370399689,1.13826256,0.50498238,0.729477051,-1.161911468,-1.095459888
362,"Social Work Teachers, Postsecondary",1.116428844,-0.917895459,0.527455645,1.515643907,1.186671655,-0.126299178,-1.695959459
363,"Art, Drama, and Music Teachers, Postsecondary",-0.113871502,-0.594779827,0.141349399,1.495457745,3.618185505,-0.343148844,-1.007786875
364,"Communications Teachers, Postsecondary",0.447867778,-0.275329942,0.449865608,0.805372208,1.886109823,0.188111934,-1.341249113
365,"English Language and Literature Teachers, Postsecondary",0.489510819,-0.669900324,0.912343504,1.067147944,2.132084061,-0.147575571,-1.618581782
366,"Foreign Language and Literature Teachers, Postsecondary",0.352261331,-0.95957448,0.7221581,1.467033065,2.092153204,0.551266336,-1.637852695
367,"History Teachers, Postsecondary",0.685729042,-0.870618671,0.77469019,1.144812973,1.631794274,-1.706455829,-2.551832632
368,"Philosophy and Religion Teachers, Postsecondary",0.720936098,-1.459684571,0.738851512,1.460570302,1.966407795,-0.860907793,-1.845943846
369,Graduate Teaching Assistants,-0.453632622,-1.024509812,0.836972262,0.71161844,1.034645227,0.531762456,-1.638210992
370,"Home Economics Teachers, Postsecondary",0.555284523,-0.052778486,0.396318969,1.11113033,1.188488432,-0.403161985,-1.357325405
371,"Recreation and Fitness Studies Teachers, Postsecondary",0.33410856,-0.271765201,0.245348697,1.27436321,1.269168726,0.309496286,-1.455012318
372,"Vocational Education Teachers, Postsecondary",-0.440008064,0.469742381,-0.073570649,1.230592285,0.788681385,0.546036873,0.082562996
374,"Preschool Teachers, Except Special Education",-0.589349925,0.177679638,0.438263735,1.683790437,1.637484676,0.338475543,-0.647911177
375,"Kindergarten Teachers, Except Special Education",-0.345854174,0.095910148,0.337101096,1.872872491,1.786668647,0.898865721,-0.918367705
376,"Elementary School Teachers, Except Special Education",0.241859926,0.187322635,0.486405194,1.597200595,1.151400237,1.007160207,-0.526651497
377,"Middle School Teachers, Except Special and Career/Technical Education",0.051589001,0.428819904,0.518268327,1.357496646,1.159346286,0.960934598,-1.313623443
378,"Career/Technical Education Teachers, Middle School",0.144341948,0.195782048,0.095341386,1.511005265,1.274612598,0.428178093,-0.532550733
379,"Secondary School Teachers, Except Special and Career/Technical Education",0.227730717,0.173914993,0.567467285,1.536221389,1.364845372,0.338851722,-1.020240279
380,"Career/Technical Education Teachers, Secondary School",0.315960133,1.059531011,-0.370913086,1.329317678,0.731599367,0.293174021,0.489157015
382,"Special Education Teachers, Kindergarten and Elementary School",-0.233145713,0.242326805,0.828356478,1.735864014,0.339248239,1.023734219,-1.512821165
383,"Special Education Teachers, Middle School",0.201714872,0.030480995,0.768000994,1.749891565,0.893598583,1.486215976,-0.89076926
384,"Special Education Teachers, Secondary School",0.195605752,0.4354392,0.682552804,1.47348315,0.707599818,0.961477857,-1.047025039
386,Adapted Physical Education Specialists,-1.66E-05,0.599801014,0.053772381,1.900092399,1.190527112,-0.394092197,0.723181341
387,Adult Basic and Secondary Education and Literacy Teachers and Instructors,-0.070466695,-0.782408745,1.140762193,0.742601737,1.151313324,0.068525657,-1.627172766
388,Self-Enrichment Education Teachers,-1.056604736,-0.614449241,0.910274189,0.41285952,1.625628045,-0.149339847,-0.646052694
390,Tutors,0.466644017,-0.794655964,1.10078491,1.399899905,0.178702119,-0.661620057,-0.329437233
391,Archivists,0.282599041,-0.08013767,0.682820124,-0.506566209,0.143048872,-0.901485174,-0.186860736
392,Curators,0.247043729,0.198047562,0.24612899,-0.198955678,2.179626177,0.264027668,-0.777286662
393,Museum Technicians and Conservators,-0.149913096,-0.428418265,-0.065704061,-0.648375248,1.866092596,0.035660115,0.796903773
394,Librarians,-0.16424481,-0.076069652,0.868380016,0.838611993,0.667793677,0.215626074,0.435961707
395,Library Technicians,-0.94752245,-1.543934605,0.882954286,0.936918967,0.091245602,0.074638663,0.435849407
396,Audio-Visual and Multimedia Collections Specialists,0.030225863,-0.69922461,0.428202447,0.215657935,0.991234811,0.336945516,0.97098466
397,Farm and Home Management Advisors,0.709798688,0.663265753,-0.153310134,0.733652392,0.306861576,0.279454425,-1.342424201
398,Instructional Coordinators,0.671526515,0.331881339,0.762574552,0.936453108,0.986218888,1.103064722,-1.055114545
399,Instructional Designers and Technologists,0.671541325,0.788788623,0.857986713,-0.183032028,1.57566353,0.501100099,0.312345409
400,Teacher Assistants,-1.170587225,-1.66041913,0.905341211,1.71735771,0.549732424,0.726202554,-1.74334228
402,Art Directors,-0.408591345,1.378245034,0.642103843,-0.604486395,3.052018184,0.410232632,1.328334728
403,Craft Artists,-0.905492947,0.540473221,-0.493597803,-1.25783471,3.561579409,-4.328408581,1.421486425
404,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.440692721,-1.315575929,0.075272263,-0.068376764,4.014785524,-2.417194391,1.243997783
405,Multimedia Artists and Animators,-0.563877449,0.301855032,0.858189939,-0.912685214,2.708849438,0.265319879,1.001899652
407,Commercial and Industrial Designers,0.599612632,-1.059414823,0.177038252,-0.67175313,2.358197646,0.612941383,-0.062791765
408,Fashion Designers,-0.145250097,2.198123566,0.177358827,-0.447235377,2.658983017,-0.497530664,1.50505855
409,Floral Designers,-1.225372275,-0.506362005,0.637571256,0.200658581,1.894388225,-0.102189723,0.967471263
410,Graphic Designers,-0.767021899,0.193727574,1.078492827,-0.932699045,3.409923342,-0.688865293,0.77845166
411,Interior Designers,-0.490882512,1.374754507,0.781189245,-0.196201123,2.704395643,0.513923606,-0.928845476
412,Merchandise Displayers and Window Trimmers,-1.090428523,0.691634887,0.218106269,-0.807786414,2.268497116,0.044650072,1.539692684
413,Set and Exhibit Designers,-0.149214984,0.801209244,-0.519671375,-0.217330692,3.567701969,0.829032005,0.891464027
415,Actors,-1.595976732,-1.682122075,1.200910168,1.45737702,3.454027887,1.084716738,-0.568721492
417,Producers,-0.409518301,0.466019073,0.561953013,0.239322064,2.223867829,1.430284043,-0.465165319
418,"Directors- Stage, Motion Pictures, Television, and Radio",-0.558076099,0.685376265,0.53279274,0.048553403,2.500261819,1.777835252,0.593896569
419,Program Directors,0.214080374,2.10635568,0.454712217,0.153225281,1.397383037,1.171667774,0.754740264
420,Talent Directors,-0.669617716,1.899393042,1.133171259,-0.473636329,1.914360326,0.824848149,-0.645876972
421,Technical Directors/Managers,-0.553167673,1.57433751,0.177019243,-0.322443973,1.401762548,0.625152267,-0.107544449
422,Athletes and Sports Competitors,-0.811480667,0.951285239,-0.121194469,0.029652417,0.16440136,0.551079745,0.38748468
423,Coaches and Scouts,0.187619276,1.45798034,-0.582651033,1.218802494,0.376335999,0.200047569,-0.912093425
424,"Umpires, Referees, and Other Sports Officials",-1.095592751,0.765265962,0.657352257,0.044365536,-1.148596743,0.051210474,-0.993764954
425,Dancers,-2.029445944,-0.920373264,0.675732912,0.015730712,3.425221336,1.470972411,-0.296136649
426,Choreographers,-1.115888018,1.395418412,0.531083573,0.233941987,3.758406677,1.29696727,0.082506069
428,Music Directors,-1.055388161,0.350814702,0.426170376,1.38872046,3.646248754,0.883104895,-0.739157519
429,Music Composers and Arrangers,-0.644991734,-0.243067064,1.065898756,-0.505888739,3.92389434,-0.558046121,0.707742871
431,Singers,-2.251457715,-1.258970901,0.860533453,0.593533297,2.983223386,0.386661126,-3.282765557
432,"Musicians, Instrumental",-1.66718513,0.29190782,0.786688113,0.025783086,2.973199278,0.353322493,2.546217959
434,Radio and Television Announcers,-0.66628312,0.819729919,0.79673637,-0.023018989,2.089679817,-0.141557835,0.375305446
435,Public Address System and Other Announcers,-1.503060366,-0.793341381,1.294915498,0.144325716,1.357620509,-0.168796748,-0.347008725
436,Broadcast News Analysts,-0.177443796,-0.619199496,0.621020357,1.075023261,1.609898568,0.205078179,-0.456777455
437,Reporters and Correspondents,-0.012533714,-0.302609518,0.988304052,-0.035742843,1.602035307,-1.575497017,-0.408374185
438,Public Relations Specialists,-0.427062269,1.702800022,1.032354319,-0.09536593,1.345922319,0.199598009,-0.632679886
439,Editors,-0.142012183,-0.234202926,1.360255161,-0.209244214,1.517366209,1.029955709,0.551338744
440,Technical Writers,-0.362992411,-0.766071651,1.719324619,-1.001323911,0.901619429,0.362067882,0.601744589
442,Copy Writers,-0.379210533,0.242145001,1.259941318,-0.728903553,2.061617899,0.840237054,-0.636969686
443,"Poets, Lyricists and Creative Writers",0.734574824,-0.919055801,1.075097036,-0.933282346,3.295332267,-4.488689075,-0.420216754
444,Interpreters and Translators,-0.216938226,-0.934114416,1.304081041,1.034687031,1.085062312,-0.880968838,-0.077078127
446,Audio and Video Equipment Technicians,-0.059035267,-1.036176251,0.097145738,-0.107993195,1.65791262,1.218538573,0.759467272
447,Broadcast Technicians,0.628016121,-1.291330959,0.388305686,-0.340314516,0.109037831,-0.899270082,0.63545188
448,Radio Operators,-0.070933617,-1.488450231,0.654053946,0.391684168,-0.394503543,1.841898353,0.981059123
449,Sound Engineering Technicians,-0.669266323,0.529738811,0.626432812,-0.123221055,2.114025556,-0.035309428,1.83868497
450,Photographers,-1.149041414,0.834232869,0.2489649,0.009225137,3.04897834,-1.510518425,1.144113164
451,"Camera Operators, Television, Video, and Motion Picture",-0.682024941,-1.310303704,-0.181774682,-0.071236609,2.693083671,1.163021624,0.859077273
452,Film and Video Editors,-0.478119583,-0.521349541,1.148921229,-0.786220256,2.503616489,0.339808846,1.313813649
454,Chiropractors,0.721923297,0.30742374,0.129855719,1.655093941,0.016091661,-0.424816298,1.127592862
455,"Dentists, General",1.194289299,1.682976438,-1.033633941,0.814925128,-0.398534378,-0.045639269,2.976500232
456,Oral and Maxillofacial Surgeons,1.493803709,0.170540425,-1.121475979,1.688182648,0.327473335,1.017097666,2.447011987
457,Orthodontists,1.069701843,0.892804458,-0.428427348,1.029160564,-0.152384572,0.347108208,2.471827925
458,Prosthodontists,0.820742785,0.659207042,-1.114382326,1.34275931,0.315494728,0.679897878,2.049442775
460,Dietitians and Nutritionists,0.832082242,0.677646195,0.363939223,1.478561967,-0.457276674,-0.263848103,-0.869631642
461,Optometrists,0.903671101,0.331689525,0.310626219,1.155278678,-0.923401777,-0.403894964,2.052175653
462,Pharmacists,0.843074177,-0.083698208,0.6893725,1.080970777,-1.226109863,0.581786708,1.520770259
463,Anesthesiologists,2.094446302,-0.242534304,-0.867110073,1.383888336,-0.897864121,-0.020260984,0.971454464
464,Family and General Practitioners,2.058857292,-1.158932021,0.099215983,2.505926432,-1.037056246,0.08372085,0.088783724
465,"Internists, General",1.755488587,-0.084889053,0.361527191,1.923185192,-0.471152525,-1.221150164,0.846809648
466,Obstetricians and Gynecologists,1.600419689,-0.119841499,-0.281096308,2.25228045,-0.638475881,-0.025211762,1.160825763
467,"Pediatricians, General",1.659357199,-0.727796255,0.063923832,2.062870879,-0.517370887,-0.138659502,0.075240451
468,Psychiatrists,1.263222071,0.357532268,0.641368539,2.187992555,-0.233148625,0.045912465,-0.570925098
469,Surgeons,1.62267789,-0.175569514,-0.632529062,1.824573617,0.226061668,0.584408038,2.80691758
471,Allergists and Immunologists,1.626312407,0.285903668,0.560800323,1.428091481,-0.340200476,0.236902778,0.059448572
472,Dermatologists,0.95905103,-0.720873702,-0.360157205,1.649483885,-0.178530303,1.252297038,0.550864144
473,Hospitalists,1.32099168,-0.091736453,0.265584637,2.158244644,-1.153616098,0.227842365,0.454246425
474,Neurologists,1.548865194,0.359789934,0.28907568,1.720522557,-0.062571903,0.355530635,0.047731524
475,Nuclear Medicine Physicians,1.510231002,-0.048082041,0.236015718,0.760252071,-0.877172374,-0.392569446,1.220306524
476,Ophthalmologists,1.613455977,0.247007908,-0.006355487,1.464224277,-0.619043177,0.148506294,1.943301936
477,Pathologists,1.714381003,-0.417959239,-0.052229739,0.602942124,-0.219747568,-0.302330897,0.823021932
478,Physical Medicine and Rehabilitation Physicians,1.150326084,0.131654715,-0.072099077,2.03335565,0.455760893,0.921417756,0.552278567
479,Preventive Medicine Physicians,1.34486626,0.732462676,0.131822528,1.341715656,-0.125641651,0.1661648,-1.039553054
480,Radiologists,1.569594709,0.079916926,0.044071179,1.011526107,-0.89463726,-0.029879125,0.867366121
481,Sports Medicine Physicians,1.586792676,0.625970756,-0.084795677,1.264888543,-0.312004754,-0.010304151,1.498316621
482,Urologists,2.139318548,-1.221990575,-0.544339982,1.850425302,-0.132794156,0.570628368,1.295286612
483,Physician Assistants,1.414031848,-0.253534982,-0.17410605,2.193339506,-0.491265948,-0.122231155,0.78293613
484,Anesthesiologist Assistants,0.869014091,-1.23728972,-0.58179705,1.462113496,-0.378450501,1.222863069,0.864739154
485,Podiatrists,1.297497277,-0.122915629,-0.467828515,1.427563362,-0.771671007,-0.049286147,0.950393864
486,Occupational Therapists,0.594983171,0.729611244,-0.125391536,1.961627151,0.855175457,-0.242774002,0.4954313
487,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",0.163941049,0.066628016,0.092581446,1.47171908,0.359161776,-0.338126653,-0.434400046
488,Physical Therapists,0.979872593,-0.811908788,0.106375637,2.38229843,0.149987744,0.226722705,1.394533708
489,Radiation Therapists,0.155640087,-0.434502653,-0.288136427,1.775686436,-0.767893744,0.688081335,1.077113355
490,Recreational Therapists,-0.213897233,0.647440557,-0.047828935,2.163145779,1.616314599,0.620324926,-0.072936625
491,Art Therapists,-0.22754341,0.439476597,0.372131953,2.597278314,2.484649548,-1.909873317,0.769488156
492,Music Therapists,-0.024848843,0.312697881,0.172351569,2.531739743,3.017707121,-1.00378855,1.440976673
493,Respiratory Therapists,1.041274359,-0.938372728,-0.466956163,2.149545676,-0.740269304,0.716545368,0.927936489
494,Speech-Language Pathologists,1.14148263,-1.088656715,0.728367967,1.683572947,0.413271665,-0.14229115,-0.575296093
495,Exercise Physiologists,0.718197959,-0.11947481,0.583896914,1.29260029,0.441429671,-0.711058522,0.12815676
497,Veterinarians,1.214584465,-0.226734419,-0.387688405,1.155327651,-0.619712378,0.898056746,1.454001381
498,Registered Nurses,0.863517468,-0.265086506,-0.125127855,2.261297113,-0.47676865,0.883323743,0.94618905
499,Acute Care Nurses,0.878908501,0.103725799,-0.07418282,2.216591019,-0.728617964,0.652078433,-0.032398498
500,Advanced Practice Psychiatric Nurses,0.776008904,0.909767626,0.253800404,2.287146019,0.525310746,-0.538774951,-0.437634744
501,Critical Care Nurses,0.909073112,0.263389341,-0.457228035,2.433625943,-0.637193703,-0.111892607,1.320196792
502,Clinical Nurse Specialists,0.790786727,1.332477022,-0.55196697,1.760987789,0.219641328,0.555449191,0.741928728
503,Nurse Anesthetists,1.609973492,0.003292765,-0.821135589,1.853764653,-0.280709158,0.477883213,1.424239154
504,Nurse Midwives,1.160297584,0.001025711,-0.278971206,2.574829239,-0.55702553,-0.006708724,1.067986105
505,Nurse Practitioners,1.340447137,0.332265822,-0.236407989,2.504613709,-0.346787092,-0.092144633,1.090935797
506,Audiologists,0.97859761,-0.06479166,0.442497114,1.597734278,-0.983837064,-1.849207783,1.316172651
508,Acupuncturists,0.629812177,-1.142389346,0.150246042,2.010726182,0.434039878,-1.458696666,0.492053096
509,Naturopathic Physicians,1.630267124,-0.631256138,0.247009278,2.148696266,0.522836485,-2.332550516,-0.110708178
510,Orthoptists,0.6695137,-1.020079432,0.720466046,1.615084504,-0.439296696,0.590579577,1.422631629
511,Medical and Clinical Laboratory Technologists,1.113717392,-0.824915767,-0.559672941,0.575287542,-0.964749799,0.833389486,1.265537692
512,Cytogenetic Technologists,0.923240185,-1.404766014,0.39649055,-0.259320993,-0.853076313,0.472225717,1.276613217
513,Cytotechnologists,1.089331497,-1.35044106,0.423535636,-0.209909573,-1.311547041,-1.123622206,1.977288275
514,Histotechnologists and Histologic Technicians,0.42192353,-0.531727107,-0.503738167,-0.45746598,-0.723535637,0.034161159,1.417370923
515,Medical and Clinical Laboratory Technicians,0.788338914,-1.020256557,-0.228502062,0.275777553,-0.500959375,0.517687642,1.536440049
516,Dental Hygienists,-0.297656322,-0.561802271,-0.096092095,1.68317555,-0.683634912,-0.092866277,1.465716488
517,Cardiovascular Technologists and Technicians,0.310567133,-1.119582038,0.457236539,1.465279791,-0.821997817,0.695670917,1.537306458
518,Diagnostic Medical Sonographers,0.150315757,-0.649116437,0.39277506,1.750190522,-0.383148906,0.280762635,1.367025914
519,Nuclear Medicine Technologists,0.660750745,-0.896401394,0.305964804,1.290886789,-0.913623123,0.776274838,1.135543198
520,Radiologic Technologists,-0.026335054,-0.725607662,-0.009903778,1.517061086,0.041605564,0.664621241,1.02406325
521,Magnetic Resonance Imaging Technologists,-0.068446376,-0.057042614,0.430687715,0.666865864,-0.191266291,-0.142747329,1.184229163
522,Emergency Medical Technicians and Paramedics,0.669460898,0.335585122,-1.808004907,2.019847767,-0.213949279,0.943601032,0.321826457
523,Dietetic Technicians,-0.563118707,0.412366518,0.251784298,0.433298825,-0.662996278,-0.491681937,0.323614255
524,Pharmacy Technicians,-0.378183133,-0.547241613,0.939548656,0.719539634,-1.14379465,0.554249432,2.097709496
525,Psychiatric Technicians,-0.340312416,1.049533236,0.13522382,1.696963145,-0.287147449,-0.33590135,0.349690058
526,Respiratory Therapy Technicians,0.389739508,-0.141664406,-0.314297453,2.074243038,-0.248308408,0.203402988,1.132915901
527,Surgical Technologists,-0.3415937,-0.429680681,-0.738431227,0.925708137,-0.379341575,1.119082907,0.710846006
528,Veterinary Technologists and Technicians,0.231736619,-0.492620948,0.227662887,0.66592123,-1.173024979,0.930084596,1.687898597
529,Ophthalmic Medical Technicians,-0.490167711,-0.703356605,1.04473081,1.003036551,-1.22060982,1.233229971,1.748048413
530,Licensed Practical and Licensed Vocational Nurses,0.352391409,0.553829078,0.135849006,2.15523195,-0.597773609,0.429778385,1.131978045
531,Medical Records and Health Information Technicians,-0.772162562,-1.654061677,1.534474236,-0.154226569,-0.116938048,1.169850732,1.026810654
532,"Opticians, Dispensing",-0.355237723,0.886460067,0.619943692,0.257214456,-0.681912045,-1.271802669,2.016050984
